gid spike-times
0 129.341595058,173.591313243,429.567334552,648.540001563,851.930074029,1012.41467031,1096.10963054,1213.50978187,1407.84741466,1523.01303386,1799.79566792,2100.42438515,2228.44079922,2422.9945687,2688.75672843,2982.22472983,3267.56375752,3303.90821802,3452.1807979,3622.46393042,3735.2737198,4057.76416609,4125.74328571,4290.34527705,4482.50832016,4646.19576761,4720.03334756,4923.06876527,5194.18013008,5217.77663073,5440.71119388,5743.22188377,6029.615384,6109.56562172,6438.18007687,6493.04062185,6715.58374005,6931.08396256,7148.31346153,7457.24503078,7472.41163833,7632.07799305,7784.87516206,7981.16336366,8312.55251303,8493.17241488,8625.18551519,8932.7871139,9307.69657772,9585.17916222,9749.65773767,9914.47391175
1 273.110625445,337.568205849,617.109946332,953.377193917,1149.55902218,1415.62842677,1442.92121541,1500.55990787,1665.47122232,1712.68307627,2028.7347575,2136.14792047,2415.34277029,2600.22478754,2835.83936849,2897.46210925,3192.82759778,3412.42880459,3629.39341627,3932.29361858,4057.12404278,4185.29383535,4475.86307345,4710.20527165,4980.9143137,5070.3084398,5254.05852162,5514.42421708,5723.81805306,5838.63137821,6155.75718113,6429.11167417,6734.338212,6735.90930052,6940.75741566,7138.54665515,7350.27292399,7477.31028647,7842.25585384,8253.49359497,8518.82453655,8824.25975472,9098.0204199,9350.00401055,9651.40382198,9815.30652169
2 243.316680429,409.913477818,672.253889572,1051.12986716,1145.64183467,1189.34764976,1470.26223223,1735.81980804,1941.87760407,2171.9176067,2263.17131347,2311.28256028,2578.63185927,2797.40571675,3086.45613222,3210.56087986,3212.45962763,3270.81035182,3558.15253437,3695.83688194,3960.27398662,4163.57654978,4436.33447778,4587.90079502,4796.42240271,4988.07063255,4993.21418209,5070.16247417,5281.73876369,5502.9636737,5874.80198528,6133.13483298,6376.91344038,6729.44696845,6978.93464804,7325.19049011,7747.43348851,8067.12114849,8253.94622574,8469.66422093,8559.81464482,8960.56805113,9082.23273112,9356.12036569,9626.24206543,9848.22202888
3 123.339376968,300.633582313,534.626786615,739.26671231,882.321481112,979.927389128,1302.12949828,1548.25649182,1825.87212545,2051.55713787,2222.13257188,2419.2569527,2687.07246494,2970.62400029,3093.65006359,3322.40316246,3484.76517504,3685.82401442,3808.14130679,4159.53930943,4496.5447583,4736.46308009,4965.03733086,5301.2985453,5573.7314982,5939.99459054,6101.67318014,6367.50017373,6585.94587662,6940.3558998,7230.97162026,7487.74795248,7672.58259882,7961.47813072,8059.7160306,8202.44787733,8256.4092083,8410.17779655,8543.99332554,8868.65956857,9026.49890688,9077.97717014,9357.37743405,9475.25790488,9811.28348401,9894.0240293
4 200.70539947,431.959121401,603.92503619,1109.24513426,1116.11094094,1334.82959717,1518.8912088,1660.34185593,1902.89609508,1953.30797398,2214.23584771,2351.62447211,2581.44246966,2803.73209266,2933.09576508,3296.6408472,3374.00067159,3688.64378727,4049.26930767,4148.96184448,4430.31721174,4763.41228408,5029.38901536,5269.60642731,5466.67594097,5951.16888933,6295.48948331,6515.82208582,6850.00638927,6999.55361216,7223.92377369,7593.71844218,7757.28375431,7972.91229269,8227.51759695,8420.60417145,8609.60202332,8653.96615452,8743.58044466,8964.3959395,9212.13215318,9294.21163493,9300.52115852,9450.76044943,9501.09264455,9737.63420527
5 268.017006479,391.26011694,550.009103922,751.791423486,1021.12697242,1214.17241476,1356.53988247,1562.59781437,1604.86353091,1808.51354254,2109.58575445,2405.37611716,2616.15736918,2681.66180127,2840.13959443,3038.94799248,3171.39715564,3460.31921447,3666.18113533,4012.47313918,4125.09577148,4172.32933533,4302.00858397,4396.31000728,4842.61689602,5039.50012179,5223.6738181,5587.37212469,5791.28085209,5849.49412192,6011.03843066,6083.07683219,6329.30322836,6717.25189893,6963.32582091,7195.02893173,7442.57013836,7541.91804064,7597.15461232,7691.73544561,7875.299701,7881.46811748,8168.27882564,8392.54989707,8680.24295464,8799.70463152,9174.94573868,9257.81782482,9541.03557764,9794.94390696
6 250.95527584,292.363756528,518.457467813,627.039670583,838.851366391,885.756725998,1062.15191617,1292.95350786,1384.27977506,1642.73971681,1706.80060655,1859.63664026,2103.72611029,2531.57509222,2814.13842834,2939.70668938,3120.89907195,3311.79932161,3582.09324578,3752.69357071,3848.62033463,3882.46186308,4281.78697235,4507.51601036,4794.470576,4881.02591386,5159.07976059,5423.17010761,5497.26603544,5795.07136044,5946.19768372,6123.98249645,6222.32985465,6293.89624441,6486.45577312,6577.24184675,6873.60984884,6894.56153495,7152.33328718,7440.84984133,7701.25496451,8090.53347086,8375.65219457,8509.46065455,8689.87916591,8964.84300482,9402.24000711,9839.78830391,9997.09055311
7 187.896720152,403.92432854,682.62572885,953.993581475,1081.20328168,1209.63454343,1488.78786796,1773.03213248,2131.1329787,2432.02885303,2528.70337755,2603.68035093,2802.18458934,3120.81143096,3255.67279286,3439.38791215,3814.89062559,3889.85064135,4122.13238392,4177.60640256,4484.78926184,4834.06524766,4931.02858705,5275.42944324,5384.43862858,5528.62502815,5851.20324895,5995.50100855,6076.75831612,6196.83992817,6418.93190302,6693.20287159,6759.94774444,6914.81215231,7077.12785651,7097.76544464,7341.44733258,7514.03420977,7624.91658079,7802.20708564,7834.45920768,8030.32045168,8147.26600935,8323.26300346,8515.237055,8693.15451968,8870.71423171,9093.5964361,9367.86733757,9763.34141697,9903.78591641
8 24.1637911217,56.4795686302,421.82135785,693.6179785,870.305955307,958.198913834,1126.05646575,1552.51243415,1667.31913785,1913.6628353,1932.50454244,2223.79588454,2395.18339451,2757.7100934,2988.48763936,3199.53794232,3263.90616384,3565.29856627,3749.72744038,3768.63771913,4157.37442628,4350.33137401,4495.14769369,4840.76320918,5038.33350532,5326.0544585,5497.21031058,5906.24025179,6096.08607268,6235.50396848,6438.76083088,6726.91581951,6987.86115755,7304.84871049,7413.86141119,7531.81143771,7835.56358315,8185.98583728,8390.07128326,8580.4698153,8880.64149308,9230.60091484,9495.10566062,9588.56758276,9793.84171055,9938.2503141
9 360.218768315,611.566711395,941.460512085,957.130614781,1104.79770798,1301.9241088,1505.17828318,2000.37710694,2180.88799792,2503.7073989,2607.57594234,2728.413321,2829.98527431,3154.53841066,3325.11845803,3467.18226454,3776.6274723,3971.63669527,4127.96144293,4197.38678988,4415.77591858,4575.48374704,4730.2541383,4999.3284237,5101.75096915,5432.85977745,5571.23337877,5702.31390266,6044.09600232,6183.2725359,6310.8119143,6585.30854639,6916.42655946,7014.78084914,7241.36698899,7582.1620131,7820.05277134,7878.95825345,7916.88146095,8031.80121832,8099.87008939,8229.50389127,8470.71857794,8767.12927726,8916.25948551,9163.47445863,9282.08500221,9393.50933498,9669.42725114,9830.74187578,9928.72931811
