gid spike-times
0 333.0,665.0,931.0,1282.0,1603.0,1936.0,2234.0,2554.0,2899.0,3201.0,3547.0,3902.0,4221.0,4567.0,4904.0,5078.0,5148.0,5210.0,5272.0,5338.0,5395.0,5477.0,5552.0,5619.0,5693.0,5758.0,5818.0,5884.0,5968.0
1 341.0,673.0,1005.0,1361.0,1682.0,2034.0,2358.0,2707.0,3036.0,3382.0,3717.0,4055.0,4362.0,4706.0,5064.0,5123.0,5183.0,5251.0,5323.0,5375.0,5447.0,5525.0,5595.0,5658.0,5716.0,5773.0,5827.0,5885.0,5947.0
2 357.0,693.0,1053.0,1375.0,1714.0,2064.0,2401.0,2718.0,3047.0,3382.0,3755.0,4067.0,4357.0,4707.0,5052.0,5106.0,5179.0,5262.0,5329.0,5404.0,5471.0,5532.0,5616.0,5685.0,5749.0,5812.0,5886.0,5952.0
3 321.0,630.0,961.0,1295.0,1620.0,1963.0,2288.0,2606.0,2908.0,3209.0,3544.0,3886.0,4199.0,4503.0,4814.0,5063.0,5141.0,5211.0,5286.0,5337.0,5385.0,5448.0,5518.0,5586.0,5652.0,5729.0,5788.0,5861.0,5926.0,5994.0
4 306.0,665.0,1005.0,1330.0,1675.0,2004.0,2354.0,2694.0,3008.0,3339.0,3695.0,4007.0,4331.0,4707.0,5069.0,5133.0,5199.0,5272.0,5341.0,5407.0,5475.0,5529.0,5597.0,5664.0,5726.0,5795.0,5853.0,5927.0,5984.0
5 346.0,681.0,1051.0,1372.0,1710.0,2023.0,2341.0,2682.0,3003.0,3337.0,3631.0,3952.0,4302.0,4637.0,4953.0,5084.0,5142.0,5202.0,5268.0,5342.0,5406.0,5476.0,5536.0,5606.0,5672.0,5759.0,5828.0,5908.0,5968.0
6 369.0,679.0,1014.0,1333.0,1662.0,2009.0,2355.0,2687.0,3027.0,3362.0,3718.0,4061.0,4417.0,4756.0,5061.0,5134.0,5200.0,5279.0,5349.0,5406.0,5462.0,5537.0,5617.0,5682.0,5768.0,5839.0,5899.0,5977.0
7 328.0,636.0,939.0,1271.0,1599.0,1925.0,2241.0,2580.0,2926.0,3263.0,3582.0,3903.0,4225.0,4545.0,4863.0,5075.0,5133.0,5208.0,5266.0,5335.0,5407.0,5466.0,5553.0,5623.0,5689.0,5767.0,5821.0,5888.0,5977.0
8 320.0,648.0,995.0,1331.0,1679.0,2055.0,2379.0,2698.0,3032.0,3386.0,3716.0,4100.0,4397.0,4724.0,5081.0,5146.0,5196.0,5270.0,5334.0,5390.0,5456.0,5513.0,5580.0,5638.0,5708.0,5786.0,5859.0,5941.0
9 318.0,657.0,983.0,1317.0,1659.0,1983.0,2303.0,2638.0,2990.0,3337.0,3693.0,4037.0,4365.0,4660.0,4990.0,5062.0,5115.0,5186.0,5256.0,5315.0,5381.0,5460.0,5518.0,5597.0,5668.0,5728.0,5803.0,5868.0,5924.0
