node_type_id model_template morphology model_type cell_name
100 hoc:PUD blank.swc biophysical PUD_0
101 hoc:PUD blank.swc biophysical PUD_1
102 hoc:PUD blank.swc biophysical PUD_2
103 hoc:PUD blank.swc biophysical PUD_3
104 hoc:PUD2 blank.swc biophysical PUD_4
105 hoc:PUD blank.swc biophysical PUD_5
106 hoc:PUD blank.swc biophysical PUD_6
107 hoc:PUD blank.swc biophysical PUD_7
108 hoc:PUD blank.swc biophysical PUD_8
109 hoc:PUD blank.swc biophysical PUD_9
110 hoc:PUD blank.swc biophysical PUD_10
111 hoc:PUD blank.swc biophysical PUD_11
112 hoc:PUD blank.swc biophysical PUD_12
